DATE,STATION,fire_risk_score
2023-12-17,USW00023185,0.9155303
2023-03-19,USW00023155,0.91528267
2023-11-04,USW00023185,0.91505086
2023-12-22,USW00093193,0.91385853
2023-12-17,USW00093193,0.9138036
2023-12-19,USW00024257,0.913687
2023-06-02,USW00023157,0.91368353
2023-06-10,USW00093193,0.9136581
2023-06-12,USW00023157,0.9136031
2023-03-15,USW00023157,0.9131224
2023-02-04,USW00023185,0.91294044
2023-03-12,USW00093193,0.91293585
2023-11-14,USW00093193,0.9126013
2023-05-29,USW00023155,0.9124926
2023-05-22,USW00023155,0.9121313
2023-10-22,USW00024257,0.9120774
2023-02-04,USW00023155,0.911712
2023-06-11,USW00023157,0.9117119
2023-06-01,USW00023157,0.9116935
2023-03-11,USW00023155,0.9113038
2023-11-24,USW00024257,0.9112769
2023-03-02,USW00023185,0.9105604
2023-02-24,USW00023155,0.9101471
2023-01-18,USW00023157,0.9100302
2023-11-06,USW00093193,0.9099884
2021-11-09,USW00023155,0.9099797
2023-09-01,USW00024257,0.9099588
2023-09-09,USW00023157,0.9099263
2023-05-02,USW00023185,0.9098358
2023-04-04,USW00023185,0.9097372
2023-03-22,USW00023185,0.9096988
2023-06-23,USW00024257,0.90956116
2023-12-03,USW00023155,0.90953857
2023-06-04,USW00023157,0.9095381
2023-08-11,USW00023155,0.9094365
2023-07-07,USW00093193,0.9093358
2023-03-10,USW00023155,0.90894216
2023-03-13,USW00024257,0.9088335
2023-06-28,USW00023157,0.9087905
2023-11-19,USW00023157,0.9087566
2023-03-19,USW00093193,0.9083875
2023-09-03,USW00024257,0.90819514
2023-01-05,USW00023157,0.90802586
2023-04-02,USW00023185,0.9077216
2023-11-11,USW00023155,0.9071997
2023-01-04,USW00024257,0.9069029
2023-10-25,USW00023185,0.90685046
2023-09-15,USW00023157,0.90681696
2023-08-28,USW00023185,0.90657896
2023-12-30,USW00023188,0.9064017
2023-05-24,USW00023157,0.9062619
2023-05-21,USW00024257,0.90588015
2022-12-24,USW00024213,0.9055609
2023-09-17,USW00093193,0.9047236
2020-01-09,USW00024257,0.9046634
2023-08-31,USW00023157,0.90438086
2023-08-16,USW00023155,0.9043789
2023-07-22,USW00024257,0.9043392
2023-03-02,USW00023155,0.9042929
2023-11-28,USW00023185,0.90425247
2023-05-03,USW00023157,0.9041435
2023-01-03,USW00093193,0.9039742
2023-06-17,USW00023155,0.9039361
2023-01-19,USW00023155,0.9038094
2023-06-12,USW00093193,0.9037565
2023-07-24,USW00093193,0.9035957
2023-09-22,USW00093193,0.9033493
2023-01-15,USW00023157,0.9027546
2023-07-01,USW00024257,0.9026736
2023-07-23,USW00024257,0.90262765
2023-03-03,USW00093193,0.9025175
2023-02-01,USW00023155,0.9024877
2023-05-02,USW00093193,0.9022629
2023-11-21,USW00023185,0.9018899
2023-06-19,USW00023185,0.901484
2023-08-20,USW00093193,0.901403
2023-05-23,USW00024257,0.901309
2023-07-03,USW00024257,0.90097106
2023-03-30,USW00023157,0.9009079
